country,iso3,region,subregion,year,emigrants,immigrants,net_migration
,BLM,Americas,Latin America and the Caribbean,,0,0,0
,MAF,Americas,Latin America and the Caribbean,,0,0,0
,MAF,Americas,Latin America and the Caribbean,,0,0,0
,BLM,Americas,Latin America and the Caribbean,,0,0,0
,BLM,Americas,Latin America and the Caribbean,,0,0,0
,BLM,Americas,Latin America and the Caribbean,,0,0,0
,MAF,Americas,Latin America and the Caribbean,,0,0,0
,MAF,Americas,Latin America and the Caribbean,,0,0,0
,MAF,Americas,Latin America and the Caribbean,,0,0,0
,MAF,Americas,Latin America and the Caribbean,,0,0,0
,BLM,Americas,Latin America and the Caribbean,,0,0,0
,MAF,Americas,Latin America and the Caribbean,,0,0,0
,MAF,Americas,Latin America and the Caribbean,,0,0,0
,BLM,Americas,Latin America and the Caribbean,,0,0,0
,BLM,Americas,Latin America and the Caribbean,,0,0,0
,BLM,Americas,Latin America and the Caribbean,,0,0,0
AFRICA,,,,1990,19677870,16176915,-3500955
AFRICA,,,,1995,21240099,16653698,-4586401
AFRICA,,,,2000,21162547,15413140,-5749407
AFRICA,,,,2005,24080357,16602802,-7477555
AFRICA,,,,2010,27829220,17752216,-10077004
AFRICA,,,,2015,34659532,22683929,-11975603
AFRICA,,,,2020,40006733,25267356,-14739377
AFRICA,,,,2024,45750673,29180440,-16570233
ASIA,,,,1990,54241367,46701075,-7540292
ASIA,,,,1995,56353308,44841283,-11512025
ASIA,,,,2000,62981200,47648238,-15332962
ASIA,,,,2005,69883491,51580428,-18303063
ASIA,,,,2010,85297992,64340258,-20957734
ASIA,,,,2015,101186906,78349845,-22837061
ASIA,,,,2020,111143556,84664604,-26478952
ASIA,,,,2024,120797915,92170302,-28627613
Afghanistan,AFG,Asia,Southern Asia,1990,7477104,57686,-7419418
Afghanistan,AFG,Asia,Southern Asia,1995,4107724,71522,-4036202
Afghanistan,AFG,Asia,Southern Asia,2000,4544516,75917,-4468599
Afghanistan,AFG,Asia,Southern Asia,2005,3902699,87314,-3815385
Afghanistan,AFG,Asia,Southern Asia,2010,5074825,102276,-4972549
Afghanistan,AFG,Asia,Southern Asia,2015,5181002,339432,-4841570
Afghanistan,AFG,Asia,Southern Asia,2020,5729887,144098,-5585789
Afghanistan,AFG,Asia,Southern Asia,2024,7528994,98110,-7430884
Albania,ALB,Europe,Southern Europe,1990,178747,66013,-112734
Albania,ALB,Europe,Southern Europe,1995,394084,71354,-322730
Albania,ALB,Europe,Southern Europe,2000,629192,76695,-552497
Albania,ALB,Europe,Southern Europe,2005,784369,64739,-719630
Albania,ALB,Europe,Southern Europe,2010,962514,52784,-909730
Albania,ALB,Europe,Southern Europe,2015,985561,52031,-933530
Albania,ALB,Europe,Southern Europe,2020,1103849,48810,-1055039
Albania,ALB,Europe,Southern Europe,2024,1216628,46377,-1170251
Algeria,DZA,Africa,Northern Africa,1990,1458505,273954,-1184551
Algeria,DZA,Africa,Northern Africa,1995,1424971,262032,-1162939
Algeria,DZA,Africa,Northern Africa,2000,1427791,250110,-1177681
Algeria,DZA,Africa,Northern Africa,2005,1554741,197728,-1357013
Algeria,DZA,Africa,Northern Africa,2010,1604582,217268,-1387314
Algeria,DZA,Africa,Northern Africa,2015,1662433,239473,-1422960
Algeria,DZA,Africa,Northern Africa,2020,1732822,250378,-1482444
Algeria,DZA,Africa,Northern Africa,2024,1780399,259458,-1520941
American Samoa,ASM,Oceania,Polynesia,1990,1085,21283,20198
American Samoa,ASM,Oceania,Polynesia,1995,1625,23098,21473
American Samoa,ASM,Oceania,Polynesia,2000,2183,24912,22729
American Samoa,ASM,Oceania,Polynesia,2005,2148,24233,22085
American Samoa,ASM,Oceania,Polynesia,2010,2341,23555,21214
American Samoa,ASM,Oceania,Polynesia,2015,2452,23513,21061
American Samoa,ASM,Oceania,Polynesia,2020,2952,23608,20656
American Samoa,ASM,Oceania,Polynesia,2024,3362,23684,20322
Andorra,AND,Europe,Southern Europe,1990,143,38891,38748
Andorra,AND,Europe,Southern Europe,1995,283,44206,43923
Andorra,AND,Europe,Southern Europe,2000,436,42147,41711
Andorra,AND,Europe,Southern Europe,2005,448,50298,49850
Andorra,AND,Europe,Southern Europe,2010,1213,52053,50840
Andorra,AND,Europe,Southern Europe,2015,1467,42264,40797
Andorra,AND,Europe,Southern Europe,2020,1751,45574,43823
Andorra,AND,Europe,Southern Europe,2024,1982,48408,46426
Angola,AGO,Africa,Sub-Saharan Africa,1990,799084,33517,-765567
Angola,AGO,Africa,Sub-Saharan Africa,1995,656106,39813,-616293
Angola,AGO,Africa,Sub-Saharan Africa,2000,873474,46108,-827366
Angola,AGO,Africa,Sub-Saharan Africa,2005,663380,62331,-601049
Angola,AGO,Africa,Sub-Saharan Africa,2010,579968,336367,-243601
Angola,AGO,Africa,Sub-Saharan Africa,2015,518695,632178,113483
Angola,AGO,Africa,Sub-Saharan Africa,2020,549257,656434,107177
Angola,AGO,Africa,Sub-Saharan Africa,2024,616967,676507,59540
Anguilla,AIA,Americas,Latin America and the Caribbean,1990,2262,2570,308
Anguilla,AIA,Americas,Latin America and the Caribbean,1995,2205,3317,1112
Anguilla,AIA,Americas,Latin America and the Caribbean,2000,2158,4063,1905
Anguilla,AIA,Americas,Latin America and the Caribbean,2005,1776,4684,2908
Anguilla,AIA,Americas,Latin America and the Caribbean,2010,1719,5103,3384
Anguilla,AIA,Americas,Latin America and the Caribbean,2015,1572,5471,3899
Anguilla,AIA,Americas,Latin America and the Caribbean,2020,1561,5715,4154
Anguilla,AIA,Americas,Latin America and the Caribbean,2024,1614,5918,4304
Antigua and Barbuda,ATG,Americas,Latin America and the Caribbean,1990,7368,12029,4661
Antigua and Barbuda,ATG,Americas,Latin America and the Caribbean,1995,7792,17550,9758
Antigua and Barbuda,ATG,Americas,Latin America and the Caribbean,2000,8297,23071,14774
Antigua and Barbuda,ATG,Americas,Latin America and the Caribbean,2005,7978,24741,16763
Antigua and Barbuda,ATG,Americas,Latin America and the Caribbean,2010,8143,26412,18269
Antigua and Barbuda,ATG,Americas,Latin America and the Caribbean,2015,12860,28082,15222
Antigua and Barbuda,ATG,Americas,Latin America and the Caribbean,2020,12999,29386,16387
Antigua and Barbuda,ATG,Americas,Latin America and the Caribbean,2024,13111,30473,17362
Argentina,ARG,Americas,Latin America and the Caribbean,1990,406466,1647935,1241469
Argentina,ARG,Americas,Latin America and the Caribbean,1995,445110,1589660,1144550
Argentina,ARG,Americas,Latin America and the Caribbean,2000,571985,1543851,971866
Argentina,ARG,Americas,Latin America and the Caribbean,2005,824076,1641560,817484
Argentina,ARG,Americas,Latin America and the Caribbean,2010,877341,1799680,922339
Argentina,ARG,Americas,Latin America and the Caribbean,2015,895980,1856613,960633
Argentina,ARG,Americas,Latin America and the Caribbean,2020,1014400,1912294,897894
Argentina,ARG,Americas,Latin America and the Caribbean,2024,1183381,1958039,774658
Armenia,ARM,Asia,Western Asia,1990,813557,433541,-380016
Armenia,ARM,Asia,Western Asia,1995,990938,622042,-368896
Armenia,ARM,Asia,Western Asia,2000,950779,588242,-362537
Armenia,ARM,Asia,Western Asia,2005,787489,476812,-310677
Armenia,ARM,Asia,Western Asia,2010,799328,210873,-588455
Armenia,ARM,Asia,Western Asia,2015,741708,190896,-550812
Armenia,ARM,Asia,Western Asia,2020,685545,207139,-478406
Armenia,ARM,Asia,Western Asia,2024,637604,274645,-362959
Aruba,ABW,Americas,Latin America and the Caribbean,1990,4564,14444,9880
Aruba,ABW,Americas,Latin America and the Caribbean,1995,4844,22274,17430
Aruba,ABW,Americas,Latin America and the Caribbean,2000,5433,30104,24671
Aruba,ABW,Americas,Latin America and the Caribbean,2005,5447,32540,27093
Aruba,ABW,Americas,Latin America and the Caribbean,2010,7117,34328,27211
Aruba,ABW,Americas,Latin America and the Caribbean,2015,9011,36114,27103
Aruba,ABW,Americas,Latin America and the Caribbean,2020,16628,53593,36965
Aruba,ABW,Americas,Latin America and the Caribbean,2024,29305,73494,44189
Australia,AUS,Oceania,Australia and New Zealand,1990,250909,3991501,3740592
Australia,AUS,Oceania,Australia and New Zealand,1995,280785,4215646,3934861
Australia,AUS,Oceania,Australia and New Zealand,2000,311529,4389847,4078318
Australia,AUS,Oceania,Australia and New Zealand,2005,337326,4880921,4543595
Australia,AUS,Oceania,Australia and New Zealand,2010,362178,5879802,5517624
Australia,AUS,Oceania,Australia and New Zealand,2015,403333,6733056,6329723
Australia,AUS,Oceania,Australia and New Zealand,2020,420672,7604850,7184178
Australia,AUS,Oceania,Australia and New Zealand,2024,430718,8111404,7680686
Australia/New Zealand,,,,1990,1160086,9035740,7875654
Australia/New Zealand,,,,1995,1323682,9621114,8297432
Australia/New Zealand,,,,2000,1531738,10151626,8619888
Australia/New Zealand,,,,2005,1711130,11471876,9760746
Australia/New Zealand,,,,2010,1965966,13673568,11707602
Australia/New Zealand,,,,2015,2157548,15730514,13572966
Australia/New Zealand,,,,2020,2200302,17897500,15697198
Australia/New Zealand,,,,2024,2220980,19158786,16937806
Austria,AUT,Europe,Western Europe,1990,433951,633753,199802
Austria,AUT,Europe,Western Europe,1995,418616,764758,346142
